iter	Passed	Remaining
1207	49991	74159
1208	50030	74114
1209	50069	74070
1210	50109	74025
1211	50149	73982
1212	50195	73947
1213	50234	73903
1214	50273	73858
1215	50310	73810
1216	50348	73764
1217	50389	73721
1218	50429	73678
1219	50466	73630
1220	50506	73588
1221	50544	73541
1222	50581	73493
1223	50618	73446
1224	50656	73400
1225	50698	73360
1226	50740	73320
1227	50777	73272
1228	50814	73223
1229	50856	73183
1230	50898	73142
1231	50937	73098
1232	50978	73056
1233	51018	73013
1234	51060	72972
1235	51099	72928
1236	51138	72883
1237	51177	72839
1238	51217	72795
1239	51257	72752
1240	51298	72711
1241	51340	72669
1242	51382	72630
1243	51420	72583
1244	51458	72537
1245	51498	72494
1246	51546	72462
1247	51584	72416
1248	51629	72380
1249	51672	72341
1250	51716	72303
1251	51754	72257
1252	51797	72218
1253	51836	72174
1254	51874	72128
1255	51914	72084
1256	51957	72045
1257	51997	72003
1258	52038	71961
1259	52083	71924
1260	52122	71880
1261	52158	71832
1262	52199	71789
1263	52239	71746
1264	52278	71702
1265	52317	71657
1266	52355	71611
1267	52396	71569
1268	52436	71527
1269	52471	71476
1270	52512	71435
1271	52555	71396
1272	52597	71355
1273	52640	71316
1274	52681	71275
1275	52725	71237
1276	52769	71199
1277	52810	71158
1278	52849	71113
1279	52888	71068
1280	52929	71026
1281	52967	70981
1282	53004	70934
1283	53044	70890
1284	53087	70852
1285	53129	70811
1286	53169	70768
1287	53211	70727
1288	53250	70683
1289	53288	70638
1290	53326	70593
1291	53365	70548
1292	53403	70502
1293	53441	70457
1294	53481	70414
1295	53520	70370
1296	53557	70322
1297	53594	70275
1298	53637	70236
1299	53674	70189
1300	53715	70148
1301	53754	70103
1302	53792	70058
1303	53834	70017
1304	53872	69972
1305	53917	69935
1306	53958	69894
1307	53999	69852
1308	54037	69806
1309	54078	69765
1310	54118	69722
1311	54164	69686
1312	54200	69639
1313	54242	69599
1314	54280	69553
1315	54316	69505
1316	54354	69460
1317	54394	69416
1318	54431	69370
1319	54474	69331
1320	54519	69294
1321	54560	69253
1322	54599	69208
1323	54638	69164
1324	54679	69122
1325	54723	69084
1326	54762	69041
1327	54800	68996
1328	54838	68950
1329	54876	68905
1330	54917	68863
1331	54959	68822
1332	54997	68777
1333	55031	68727
1334	55070	68682
1335	55107	68636
1336	55146	68593
1337	55185	68548
1338	55225	68505
1339	55261	68458
1340	55300	68413
1341	55337	68368
1342	55380	68328
1343	55419	68284
1344	55463	68246
1345	55504	68205
1346	55541	68159
1347	55588	68124
1348	55632	68087
1349	55675	68048
1350	55715	68005
1351	55754	67961
1352	55794	67918
1353	55834	67875
1354	55872	67830
1355	55911	67786
1356	55949	67741
1357	55988	67697
1358	56033	67660
1359	56091	67639
1360	56137	67604
1361	56184	67569
1362	56224	67526
1363	56266	67486
1364	56305	67442
1365	56345	67399
1366	56385	67357
1367	56423	67311
1368	56461	67267
